,bukken_num,title,address,line1,station1,time1,line2,station2,time2,line3,station3,time3,price,rent,fee,deposit,key,room_type,room_size,url
5156,3263,フェルクルールプレスト堀切菖蒲園,東京都葛飾区堀切２,京成本線,堀切菖蒲園駅,5,東武伊勢崎線,堀切駅,16.0,,,,77000.0,67000.0,10000.0,0.0,0.0,1K,20.16,https://suumo.jp/chintai/jnc_000069588557/?bc=100248694542
5157,3263,フェルクルールプレスト堀切菖蒲園,東京都葛飾区堀切２,京成本線,堀切菖蒲園駅,5,東武伊勢崎線,堀切駅,16.0,,,,77300.0,67300.0,10000.0,0.0,0.0,1K,20.16,https://suumo.jp/chintai/jnc_000069614164/?bc=100257599903
5158,3263,フェルクルールプレスト堀切菖蒲園,東京都葛飾区堀切２,京成本線,堀切菖蒲園駅,5,東武伊勢崎線,堀切駅,16.0,,,,78300.0,68300.0,10000.0,0.0,0.0,1K,20.16,https://suumo.jp/chintai/jnc_000037656798/?bc=100258001023
5159,3263,フェルクルールプレスト堀切菖蒲園,東京都葛飾区堀切２,京成本線,堀切菖蒲園駅,5,東武伊勢崎線,堀切駅,16.0,,,,78800.0,69800.0,9000.0,0.0,69800.0,1K,20.16,https://suumo.jp/chintai/jnc_000069055289/?bc=100254572074
5160,3263,フェルクルールプレスト堀切菖蒲園,東京都葛飾区堀切２,京成本線,堀切菖蒲園駅,5,東武伊勢崎線,堀切駅,16.0,,,,79000.0,70000.0,9000.0,70000.0,70000.0,1K,20.16,https://suumo.jp/chintai/jnc_000069131743/?bc=100255005149
5161,3263,フェルクルールプレスト堀切菖蒲園,東京都葛飾区堀切２,京成本線,堀切菖蒲園駅,5,東武伊勢崎線,堀切駅,16.0,,,,80000.0,70000.0,10000.0,70000.0,0.0,1K,20.16,https://suumo.jp/chintai/jnc_000068786010/?bc=100256006654
5162,3264,西武新宿線 武蔵関駅 5階建 築4年,東京都練馬区関町北１,西武新宿線,武蔵関駅,6,ＪＲ中央線,吉祥寺駅,15.0,ＪＲ中央線,荻窪駅,24.0,75000.0,70000.0,5000.0,70000.0,70000.0,1DK,19.02,https://suumo.jp/chintai/jnc_000044593549/?bc=100245896044
5163,3265,レアライズ立石,東京都葛飾区立石３,京成押上線,京成立石駅,5,京成本線,お花茶屋駅,19.0,京成本線,青砥駅,18.0,77500.0,67500.0,10000.0,0.0,0.0,1K,20.73,https://suumo.jp/chintai/jnc_000069521200/?bc=100257421284
5164,3266,京成押上線 京成立石駅 5階建 築5年,東京都葛飾区立石３,京成押上線,京成立石駅,5,京成押上線,四ツ木駅,16.0,京成本線,青砥駅,17.0,77500.0,67500.0,10000.0,0.0,0.0,ワンルーム,20.73,https://suumo.jp/chintai/jnc_000069521201/?bc=100257203197
5165,3267,グランコート東府中,東京都府中市八幡町３,京王線,東府中駅,4,京王線,府中駅,19.0,京王競馬場線,府中競馬正門前駅,11.0,79000.0,73000.0,6000.0,73000.0,73000.0,1K,29.2,https://suumo.jp/chintai/jnc_000041645655/?bc=100256442799
5166,3268,西武多摩湖線 一橋学園駅 5階建 築6年,東京都小平市学園西町２,西武多摩湖線,一橋学園駅,3,西武多摩湖線,青梅街道駅,13.0,ＪＲ武蔵野線,新小平駅,19.0,79500.0,75500.0,4000.0,0.0,75500.0,1K,30.24,https://suumo.jp/chintai/jnc_000069256369/?bc=100255758582
5167,3269,都営大江戸線 練馬駅 4階建 築4年,東京都練馬区豊玉北５,都営大江戸線,練馬駅,3,西武池袋線,桜台駅,12.0,西武豊島線,豊島園駅,16.0,76000.0,71000.0,5000.0,0.0,71000.0,ワンルーム,16.0,https://suumo.jp/chintai/jnc_000056520151/?bc=100255633077
5168,3270,ＪＲ総武線 平井駅 3階建 築7年,東京都江戸川区平井３,ＪＲ総武線,平井駅,5,東武亀戸線,亀戸駅,24.0,都営新宿線,東大島駅,29.0,78000.0,75000.0,3000.0,75000.0,75000.0,1K,24.04,https://suumo.jp/chintai/jnc_000020046262/?bc=100253798497
5169,3271,エルメゾン・大森,東京都大田区大森北６,京急本線,平和島駅,3,京急本線,大森海岸駅,11.0,京急本線,大森町駅,14.0,78000.0,74000.0,4000.0,74000.0,74000.0,ワンルーム,23.52,https://suumo.jp/chintai/jnc_000041126186/?bc=100258715954
5170,3272,フルール,東京都練馬区春日町４,都営大江戸線,練馬春日町駅,5,都営大江戸線,光が丘駅,20.0,東京メトロ有楽町線,平和台駅,17.0,80000.0,77000.0,3000.0,77000.0,77000.0,ワンルーム,27.01,https://suumo.jp/chintai/jnc_000069382591/?bc=100255693283
5171,3273,都営大江戸線 練馬春日町駅 2階建 築7年,東京都練馬区春日町４,都営大江戸線,練馬春日町駅,5,都営大江戸線,光が丘駅,20.0,東京メトロ有楽町線,平和台駅,18.0,80000.0,77000.0,3000.0,77000.0,77000.0,ワンルーム,27.01,https://suumo.jp/chintai/jnc_000030757848/?bc=100254809003
5172,3274,リージェンシー上板橋,東京都板橋区若木１,東武東上線,上板橋駅,6,東武東上線,東武練馬駅,16.0,都営三田線,志村三丁目駅,26.0,57500.0,53000.0,4500.0,0.0,0.0,ワンルーム,11.83,https://suumo.jp/chintai/jnc_000069260673/?bc=100240661730
5173,3274,リージェンシー上板橋,東京都板橋区若木１,東武東上線,上板橋駅,6,東武東上線,東武練馬駅,16.0,都営三田線,志村三丁目駅,26.0,59500.0,55000.0,4500.0,0.0,0.0,ワンルーム,11.85,https://suumo.jp/chintai/jnc_000069197403/?bc=100238852193
5174,3274,リージェンシー上板橋,東京都板橋区若木１,東武東上線,上板橋駅,6,東武東上線,東武練馬駅,16.0,都営三田線,志村三丁目駅,26.0,66500.0,62000.0,4500.0,0.0,0.0,ワンルーム,11.85,https://suumo.jp/chintai/jnc_000069558363/?bc=100257293841
5175,3275,京王線 芦花公園駅 3階建 築2年,東京都世田谷区南烏山１,京王線,芦花公園駅,6,京王線,八幡山駅,7.0,京王線,千歳烏山駅,16.0,71000.0,68000.0,3000.0,68000.0,68000.0,ワンルーム,15.42,https://suumo.jp/chintai/jnc_000054126088/?bc=100254093577
5176,3275,京王線 芦花公園駅 3階建 築2年,東京都世田谷区南烏山１,京王線,芦花公園駅,6,京王線,八幡山駅,7.0,京王線,千歳烏山駅,16.0,72000.0,69000.0,3000.0,69000.0,69000.0,ワンルーム,16.35,https://suumo.jp/chintai/jnc_000054126089/?bc=100255455408
5177,3276,ラフィネ芦花公園 A,東京都世田谷区南烏山１,京王線,芦花公園駅,5,京王井の頭線,高井戸駅,23.0,小田急線,千歳船橋駅,1538.0,71000.0,68000.0,3000.0,68000.0,68000.0,ワンルーム,15.42,https://suumo.jp/chintai/jnc_000054099095/?bc=100254043709
5178,3277,東武伊勢崎線 小菅駅 3階建 築3年,東京都足立区足立２,東武伊勢崎線,小菅駅,5,東武伊勢崎線,五反野駅,10.0,ＪＲ常磐線,綾瀬駅,18.0,73000.0,67000.0,6000.0,67000.0,0.0,1K,21.11,https://suumo.jp/chintai/jnc_000051967523/?bc=100257689010
5179,3278,東京メトロ丸ノ内線 南阿佐ヶ谷駅 3階建 築2年,東京都杉並区阿佐谷南３,東京メトロ丸ノ内線,南阿佐ヶ谷駅,5,ＪＲ中央線,阿佐ヶ谷駅,6.0,東京メトロ丸ノ内線,新高円寺駅,18.0,79000.0,76000.0,3000.0,76000.0,0.0,1K,16.56,https://suumo.jp/chintai/jnc_000060073433/?bc=100256345632
5180,3278,東京メトロ丸ノ内線 南阿佐ヶ谷駅 3階建 築2年,東京都杉並区阿佐谷南３,東京メトロ丸ノ内線,南阿佐ヶ谷駅,5,ＪＲ中央線,阿佐ヶ谷駅,6.0,東京メトロ丸ノ内線,新高円寺駅,18.0,80000.0,77000.0,3000.0,77000.0,77000.0,1K,16.56,https://suumo.jp/chintai/jnc_000060451325/?bc=100257022588
5181,3279,リライア西台,東京都板橋区高島平１,都営三田線,西台駅,6,都営三田線,蓮根駅,9.0,都営三田線,高島平駅,17.0,79500.0,69500.0,10000.0,69500.0,0.0,1K,25.95,https://suumo.jp/chintai/jnc_000068989329/?bc=100254248464
5182,3280,ＪＲ青梅線 小作駅 3階建 築6年,東京都羽村市栄町１,ＪＲ青梅線,小作駅,6,ＪＲ青梅線,河辺駅,28.0,ＪＲ青梅線,羽村駅,29.0,61000.0,56000.0,5000.0,0.0,0.0,1K,24.25,https://suumo.jp/chintai/jnc_000069316294/?bc=100257924414
5183,3281,東武伊勢崎線 東向島駅 4階建 築3年,東京都墨田区八広５,東武伊勢崎線,東向島駅,6,京成押上線,京成曳舟駅,8.0,東武伊勢崎線,曳舟駅,10.0,79000.0,76000.0,3000.0,0.0,0.0,1K,25.41,https://suumo.jp/chintai/jnc_000069717297/?bc=100258162646
5184,3282,Ｆｉｌｌｅ　Ｆｌａｔｓ　ＨＩＫＩＦＵＮＥ,東京都墨田区八広５,東武伊勢崎線,東向島駅,6,京成押上線,京成曳舟駅,8.0,東武伊勢崎線,曳舟駅,10.0,79000.0,76000.0,3000.0,0.0,0.0,1K,25.41,https://suumo.jp/chintai/jnc_000069667694/?bc=100257895555
5185,3283,ＪＲ京浜東北線 蒲田駅 4階建 築6年,東京都大田区西蒲田６,ＪＲ京浜東北線,蒲田駅,5,東急池上線,蓮沼駅,7.0,京急本線,京急蒲田駅,16.0,80000.0,75000.0,5000.0,75000.0,0.0,1K,18.92,https://suumo.jp/chintai/jnc_000018770818/?bc=100256756588
5186,3284,ヒルクレスト,東京都昭島市玉川町３,ＪＲ青梅線,東中神駅,5,ＪＲ青梅線,中神駅,10.0,ＪＲ青梅線,西立川駅,17.0,72000.0,69000.0,3000.0,40000.0,69000.0,1K,31.57,https://suumo.jp/chintai/jnc_000059061386/?bc=100202253694
5187,3285,西武新宿線 新井薬師前駅 3階建 築3年,東京都中野区松が丘２,西武新宿線,新井薬師前駅,6,西武新宿線,沼袋駅,10.0,都営大江戸線,落合南長崎駅,21.0,74000.0,70000.0,4000.0,0.0,0.0,ワンルーム,14.49,https://suumo.jp/chintai/jnc_000068566455/?bc=100258053219
5188,3285,西武新宿線 新井薬師前駅 3階建 築3年,東京都中野区松が丘２,西武新宿線,新井薬師前駅,6,西武新宿線,沼袋駅,10.0,都営大江戸線,落合南長崎駅,21.0,77000.0,73000.0,4000.0,0.0,0.0,ワンルーム,14.49,https://suumo.jp/chintai/jnc_000050424353/?bc=100258053332
5189,3286,京急本線 大森町駅 5階建 築2年,東京都大田区大森東３,京急本線,大森町駅,8,京急本線,平和島駅,8.0,京急本線,梅屋敷駅,18.0,75000.0,69000.0,6000.0,69000.0,0.0,1K,19.71,https://suumo.jp/chintai/jnc_000067968564/?bc=100252156102
5190,3287,京急本線 梅屋敷駅 4階建 築5年,東京都大田区東蒲田１,京急本線,梅屋敷駅,3,京急本線,京急蒲田駅,9.0,京急本線,大森町駅,11.0,80000.0,77000.0,3000.0,50000.0,0.0,1K,25.21,https://suumo.jp/chintai/jnc_000069765252/?bc=100252833355
5191,3288,フェリーチェ練馬,東京都練馬区練馬１,都営大江戸線,練馬駅,5,西武池袋線,練馬駅,5.0,西武豊島線,豊島園駅,7.0,78000.0,75000.0,3000.0,75000.0,75000.0,1K,19.88,https://suumo.jp/chintai/jnc_000069594454/?bc=100255078170
5192,3288,フェリーチェ練馬,東京都練馬区練馬１,都営大江戸線,練馬駅,5,西武池袋線,練馬駅,5.0,西武豊島線,豊島園駅,7.0,79000.0,76000.0,3000.0,76000.0,76000.0,1K,19.8,https://suumo.jp/chintai/jnc_000069107834/?bc=100254901397
5193,3289,リブリ・久米川,東京都東村山市栄町１,西武新宿線,久米川駅,5,西武多摩湖線,八坂駅,12.0,西武拝島線,萩山駅,16.0,65000.0,61000.0,4000.0,0.0,61000.0,1K,22.35,https://suumo.jp/chintai/jnc_000069240462/?bc=100255633734
5194,3290,グランクオール梅島,東京都足立区梅島２,東武伊勢崎線,梅島駅,6,東武伊勢崎線,西新井駅,15.0,つくばエクスプレス,青井駅,27.0,71000.0,66000.0,5000.0,0.0,0.0,1K,20.0,https://suumo.jp/chintai/jnc_000069601496/?bc=100257566076
5195,3290,グランクオール梅島,東京都足立区梅島２,東武伊勢崎線,梅島駅,6,東武伊勢崎線,西新井駅,15.0,つくばエクスプレス,青井駅,27.0,71000.0,66000.0,5000.0,0.0,0.0,1K,20.0,https://suumo.jp/chintai/jnc_000069558497/?bc=100257526995
5196,3290,グランクオール梅島,東京都足立区梅島２,東武伊勢崎線,梅島駅,6,東武伊勢崎線,西新井駅,15.0,つくばエクスプレス,青井駅,27.0,71000.0,66000.0,5000.0,0.0,0.0,1K,20.0,https://suumo.jp/chintai/jnc_000069601497/?bc=100257624399
5197,3291,Ｃｒｅｓｃｅｎｔ　Ｍoon,東京都北区上十条２,ＪＲ埼京線,十条駅,2,ＪＲ京浜東北線,東十条駅,11.0,都営三田線,新板橋駅,18.0,77000.0,74000.0,3000.0,74000.0,0.0,1K,20.29,https://suumo.jp/chintai/jnc_000055779392/?bc=100253128635
